Transaction Date,Opening Price,High Price,Low Price,Close Price,Turnover Volume,Turnover Amount
2023/9/13,5.25,5.26,5.13,5.16,13805283,71522312
2023/9/14,5.18,5.18,5.05,5.09,12729180,64833528
2023/9/15,5.1,5.12,5.04,5.05,10729460,54369568
2023/9/18,5.06,5.2,5.01,5.14,14868498,76268480
2023/9/19,5.13,5.14,5.02,5.03,13636640,68927904
2023/9/20,5.06,5.06,4.97,4.98,12037016,60217152
2023/9/21,5,5.01,4.93,4.94,12636855,62720420
2023/9/22,4.95,5.07,4.92,5.06,11736205,58807092
2023/9/25,5.07,5.12,5.01,5.02,10823300,54655040
2023/9/26,5.08,5.11,5,5.08,12155308,61536052
2023/9/27,5.07,5.1,5.02,5.03,11304639,57214036
2023/9/28,5.05,5.11,5.03,5.09,13876909,70494264
2023/10/9,5.1,5.15,5.06,5.09,13825100,70539512
2023/10/10,5.08,5.1,4.97,4.98,15788900,79124336
2023/10/11,4.99,5.01,4.9,4.92,15285272,75475448
2023/10/12,4.94,4.97,4.9,4.96,11074573,54730280
2023/10/13,4.93,4.98,4.88,4.9,13774118,67800792
2023/10/16,4.87,4.96,4.78,4.8,22514584,109269560
2023/10/17,4.8,4.83,4.74,4.78,15945998,76222488
2023/10/18,4.78,4.79,4.7,4.7,13804979,65246608
2023/10/19,4.7,4.72,4.62,4.62,15457532,72139584
2023/10/20,4.63,4.7,4.59,4.6,17631790,81735864
2023/10/23,4.62,4.63,4.45,4.49,16928643,76603176
2023/10/24,4.54,4.58,4.49,4.52,22852116,103746176
2023/10/25,4.57,4.66,4.51,4.52,23635703,108089736
2023/10/26,4.49,4.6,4.39,4.6,25637153,115612008
2023/10/27,4.56,4.61,4.5,4.59,22160928,100942288
2023/10/30,4.56,4.66,4.54,4.64,20030558,92296632
2023/10/31,4.68,4.68,4.56,4.61,17897200,82412336
2023/11/1,4.62,4.69,4.59,4.65,16034260,74597392
2023/11/2,4.66,4.68,4.6,4.61,14133150,65653436
2023/11/3,4.67,4.76,4.6,4.74,21850050,102826688
2023/11/6,4.75,4.87,4.74,4.86,24437135,117992528
2023/11/7,4.84,4.87,4.82,4.85,18071393,87668576
2023/11/8,4.85,4.87,4.81,4.86,15621154,75583888
2023/11/9,4.87,4.87,4.79,4.82,17871500,86256472
2023/11/10,4.8,4.89,4.78,4.87,20713250,100595496
2023/11/13,4.89,4.92,4.85,4.89,14187832,69420040
2023/11/14,4.87,4.91,4.86,4.87,11402351,55663144
2023/11/15,4.89,4.93,4.85,4.88,13440300,65670932
2023/11/16,4.88,4.92,4.86,4.86,11874660,58060464
2023/11/17,4.84,4.94,4.83,4.94,14255900,69882240
2023/11/20,4.95,5.13,4.93,5.09,26554060,134131824
2023/11/21,5.08,5.12,5.03,5.05,18765480,94921096
2023/11/22,5.03,5.06,4.98,4.98,14472060,72503424
2023/11/23,4.98,5.04,4.95,5.03,12633560,63121440
2023/11/24,5.02,5.03,4.94,4.97,12077569,60023920
2023/11/27,4.96,4.99,4.93,4.98,10246029,50841496
2023/11/28,4.98,5.07,4.96,5.06,13895761,69974464
2023/11/29,5.07,5.09,4.99,5.02,10228221,51621436
2023/11/30,5.01,5.05,4.92,4.98,14041742,69847752
2023/12/1,4.97,5.03,4.94,5,12088800,60183724
2023/12/4,5.03,5.03,4.98,5,11895540,59494912
2023/12/5,4.99,5,4.9,4.9,9522143,47085636
2023/12/6,4.91,4.97,4.87,4.92,11989140,59057928
2023/12/7,4.93,4.93,4.86,4.89,11832616,57844076
2023/12/8,4.89,4.92,4.84,4.84,16301515,79575880
2023/12/11,4.84,4.93,4.78,4.92,15144447,73884656
2023/12/12,4.91,4.94,4.86,4.9,12290656,60210024
2023/12/13,4.9,4.99,4.83,4.9,14463085,70972752
2023/12/14,4.9,5.39,4.89,5.25,95719195,501991744
2023/12/15,5.15,5.17,5,5.01,92538803,468103424
2023/12/18,5,5.04,4.89,4.92,46101267,227587328
2023/12/19,4.89,4.91,4.79,4.85,32456317,157254768
2023/12/20,4.85,4.93,4.77,4.77,27596899,133793344
2023/12/21,4.71,4.86,4.68,4.86,26962820,129253368
2023/12/22,4.87,4.89,4.77,4.78,20140787,97399832
2023/12/25,4.78,4.81,4.71,4.77,13913443,66027388
2023/12/26,4.75,4.76,4.63,4.66,16807231,78636536
2023/12/27,4.66,4.74,4.6,4.71,11865884,55467728
2023/12/28,4.73,4.85,4.68,4.83,15820267,75969000
2023/12/29,4.83,4.98,4.8,4.96,23189626,114454152
2024/1/2,4.99,5.05,4.96,5.02,22631982,113710784
2024/1/3,5.01,5.02,4.93,4.97,19102061,94886256
2024/1/4,4.97,4.98,4.93,4.97,11428548,56634448
2024/1/5,4.99,5.04,4.86,4.88,14398361,71279792
2024/1/8,4.85,4.88,4.77,4.78,12109400,58338932
2024/1/9,4.79,5.26,4.77,5.26,47634708,241362672
2024/1/10,5.79,5.79,5.14,5.14,175401404,955617536
2024/1/11,5,5.44,5,5.32,130413299,685073664
2024/1/12,5.3,5.36,5.15,5.17,78968651,413124224
2024/1/15,5.16,5.3,5.14,5.25,55749301,291560800
2024/1/16,5.23,5.33,5.16,5.27,44932818,235384240
2024/1/17,5.23,5.27,5.13,5.14,29987520,155505856
2024/1/18,5.11,5.11,4.84,5.02,55504838,275286112
2024/1/19,5.01,5.28,4.94,5.21,57050211,292837760
2024/1/22,5.14,5.22,4.9,4.94,46893289,237648512
2024/1/23,4.86,5.06,4.85,4.95,43730640,216168272
2024/1/24,4.97,5.05,4.66,4.9,60647159,293423232
2024/1/25,4.87,5.08,4.72,5.06,55957838,275896128
2024/1/26,5.01,5.1,4.94,4.95,37082302,185333808
2024/1/29,4.95,4.96,4.59,4.6,49753353,235937120
2024/1/30,4.53,4.65,4.4,4.48,29507131,133770680
2024/1/31,4.47,4.5,4.14,4.16,41369364,177370112
2024/2/1,4.14,4.25,4.06,4.1,30038113,124431384
2024/2/2,4.11,4.23,3.84,3.99,31714524,128615528
2024/2/5,3.96,3.98,3.62,3.72,46093052,173007120
2024/2/6,3.62,4.09,3.59,4.04,46894103,181847248
2024/2/7,4.02,4.14,3.86,3.96,38541345,154578560
2024/2/8,3.99,4.27,3.98,4.22,41998755,173321232
2024/2/19,4.33,4.39,4.22,4.3,30790720,132493584
2024/2/20,4.3,4.34,4.2,4.31,17828852,76283840
2024/2/21,4.28,4.42,4.24,4.3,29260415,127245192
2024/2/22,4.29,4.73,4.25,4.51,49975702,221871424
2024/2/23,4.8,4.96,4.65,4.96,60588670,296400288
2024/2/26,5.46,5.46,5.46,5.46,8014490,43759116
2024/2/27,6.01,6.01,6.01,6.01,7335420,44085876
2024/2/28,6.61,6.61,6.61,6.61,15183671,100364064
2024/2/29,7.15,7.27,6.9,7.27,247129089,1767740288
2024/3/1,8,8,8,8,11936859,95494872
2024/3/4,8.8,8.8,7.2,7.22,425886850,3266383616
2024/3/5,6.71,7.94,6.71,7.94,406298141,3051846912
2024/3/6,7.92,8.73,7.83,8.22,399946058,3364224256
2024/3/7,8.4,9.04,8.4,9.04,313274232,2794211584
2024/3/8,9.04,9.04,8.14,8.58,357655289,3001240576
2024/3/11,8.47,8.62,8.18,8.28,232248854,1936898688
